goos: darwin
goarch: arm64
pkg: go.aledante.io/FlowSeer/src/common/smi/bench
cpu: Apple M4 Pro
BenchmarkParseFile/fixture=lancom-oids-12              	     223	   5336325 ns/op	1224.54 MB/s	10232909 B/op	   91615 allocs/op
BenchmarkParseFile/fixture=lancom-oids-12              	     222	   5378350 ns/op	1214.98 MB/s	10232908 B/op	   91615 allocs/op
BenchmarkParseFile/fixture=lancom-oids-12              	     222	   5417603 ns/op	1206.17 MB/s	10232909 B/op	   91615 allocs/op
BenchmarkParseFile/fixture=lancom-oids-12              	     223	   5351077 ns/op	1221.17 MB/s	10232908 B/op	   91615 allocs/op
BenchmarkParseFile/fixture=lancom-oids-12              	     222	   5399090 ns/op	1210.31 MB/s	10232908 B/op	   91615 allocs/op
BenchmarkParseFile/fixture=lancom-oids-12              	     220	   5422155 ns/op	1205.16 MB/s	10232908 B/op	   91615 allocs/op
BenchmarkParseFile/fixture=lancom-oids-12              	     219	   5412275 ns/op	1207.36 MB/s	10232908 B/op	   91615 allocs/op
BenchmarkParseFile/fixture=lancom-oids-12              	     222	   5394672 ns/op	1211.30 MB/s	10232909 B/op	   91615 allocs/op
BenchmarkParseFile/fixture=lancom-oids-12              	     222	   5414042 ns/op	1206.97 MB/s	10232908 B/op	   91615 allocs/op
BenchmarkParseFile/fixture=huawei-tc-12                	    2253	    533965 ns/op	4677.39 MB/s	 1564074 B/op	   14525 allocs/op
BenchmarkParseFile/fixture=huawei-tc-12                	    2287	    532447 ns/op	4690.72 MB/s	 1564073 B/op	   14525 allocs/op
BenchmarkParseFile/fixture=huawei-tc-12                	    2232	    539849 ns/op	4626.40 MB/s	 1564074 B/op	   14525 allocs/op
BenchmarkParseFile/fixture=huawei-tc-12                	    2218	    536188 ns/op	4657.99 MB/s	 1564073 B/op	   14525 allocs/op
BenchmarkParseFile/fixture=huawei-tc-12                	    2239	    545351 ns/op	4579.73 MB/s	 1564073 B/op	   14525 allocs/op
BenchmarkParseFile/fixture=huawei-tc-12                	    2228	    542503 ns/op	4603.77 MB/s	 1564074 B/op	   14525 allocs/op
BenchmarkParseFile/fixture=huawei-tc-12                	    2246	    537207 ns/op	4649.16 MB/s	 1564073 B/op	   14525 allocs/op
BenchmarkParseFile/fixture=huawei-tc-12                	    2269	    534123 ns/op	4676.00 MB/s	 1564074 B/op	   14525 allocs/op
BenchmarkParseFile/fixture=huawei-tc-12                	    2211	    535856 ns/op	4660.88 MB/s	 1564074 B/op	   14525 allocs/op
BenchmarkParseFile/fixture=huawei-tc-12                	    2233	    544825 ns/op	4584.15 MB/s	 1564073 B/op	   14525 allocs/op
BenchmarkRecovery/decls=1k-12                          	    3942	    280219 ns/op	 574.99 MB/s	  985272 B/op	    3764 allocs/op
BenchmarkRecovery/decls=1k-12                          	    4339	    274370 ns/op	 587.25 MB/s	  985272 B/op	    3764 allocs/op
BenchmarkRecovery/decls=1k-12                          	    4270	    278626 ns/op	 578.28 MB/s	  985272 B/op	    3764 allocs/op
BenchmarkRecovery/decls=1k-12                          	    4376	    277583 ns/op	 580.45 MB/s	  985272 B/op	    3764 allocs/op
BenchmarkRecovery/decls=1k-12                          	    4390	    279838 ns/op	 575.77 MB/s	  985272 B/op	    3764 allocs/op
BenchmarkRecovery/decls=1k-12                          	    3955	    276925 ns/op	 581.83 MB/s	  985272 B/op	    3764 allocs/op
BenchmarkRecovery/decls=1k-12                          	    4372	    277780 ns/op	 580.04 MB/s	  985272 B/op	    3764 allocs/op
BenchmarkRecovery/decls=1k-12                          	    4395	    277061 ns/op	 581.54 MB/s	  985272 B/op	    3764 allocs/op
BenchmarkRecovery/decls=1k-12                          	    4344	    277149 ns/op	 581.36 MB/s	  985272 B/op	    3764 allocs/op
BenchmarkRecovery/decls=1k-12                          	    4306	    278002 ns/op	 579.58 MB/s	  985272 B/op	    3764 allocs/op
BenchmarkPipeline/fixture=lancom-oids-12               	      56	  20457505 ns/op	 319.42 MB/s	42029730 B/op	  110441 allocs/op
BenchmarkPipeline/fixture=lancom-oids-12               	      58	  20497532 ns/op	 318.80 MB/s	42029726 B/op	  110441 allocs/op
BenchmarkPipeline/fixture=lancom-oids-12               	      57	  20633824 ns/op	 316.69 MB/s	42029728 B/op	  110441 allocs/op
BenchmarkPipeline/fixture=lancom-oids-12               	      58	  20553352 ns/op	 317.93 MB/s	42029728 B/op	  110441 allocs/op
BenchmarkPipeline/fixture=lancom-oids-12               	      57	  20476146 ns/op	 319.13 MB/s	42029729 B/op	  110441 allocs/op
BenchmarkPipeline/fixture=lancom-oids-12               	      51	  20594252 ns/op	 317.30 MB/s	42029728 B/op	  110441 allocs/op
BenchmarkPipeline/fixture=lancom-oids-12               	      58	  20659598 ns/op	 316.30 MB/s	42029727 B/op	  110441 allocs/op
BenchmarkPipeline/fixture=lancom-oids-12               	      56	  20417398 ns/op	 320.05 MB/s	42029726 B/op	  110441 allocs/op
BenchmarkPipeline/fixture=lancom-oids-12               	      57	  20545709 ns/op	 318.05 MB/s	42029729 B/op	  110441 allocs/op
BenchmarkPipeline/fixture=lancom-oids-12               	      56	  20629295 ns/op	 316.76 MB/s	42029728 B/op	  110441 allocs/op
BenchmarkPipeline/fixture=huawei-tc-12                 	     286	   4126679 ns/op	 605.22 MB/s	 9577691 B/op	   14609 allocs/op
BenchmarkPipeline/fixture=huawei-tc-12                 	     295	   4086478 ns/op	 611.18 MB/s	 9577692 B/op	   14609 allocs/op
BenchmarkPipeline/fixture=huawei-tc-12                 	     291	   4076167 ns/op	 612.72 MB/s	 9577688 B/op	   14609 allocs/op
BenchmarkPipeline/fixture=huawei-tc-12                 	     291	   4107884 ns/op	 607.99 MB/s	 9577693 B/op	   14609 allocs/op
BenchmarkPipeline/fixture=huawei-tc-12                 	     292	   4097303 ns/op	 609.56 MB/s	 9577690 B/op	   14609 allocs/op
BenchmarkPipeline/fixture=huawei-tc-12                 	     295	   4079583 ns/op	 612.21 MB/s	 9577692 B/op	   14609 allocs/op
BenchmarkPipeline/fixture=huawei-tc-12                 	     286	   4090019 ns/op	 610.65 MB/s	 9577691 B/op	   14609 allocs/op
BenchmarkPipeline/fixture=huawei-tc-12                 	     298	   4082501 ns/op	 611.77 MB/s	 9577692 B/op	   14609 allocs/op
BenchmarkPipeline/fixture=huawei-tc-12                 	     290	   4111501 ns/op	 607.46 MB/s	 9577693 B/op	   14609 allocs/op
BenchmarkPipeline/fixture=huawei-tc-12                 	     290	   4095656 ns/op	 609.81 MB/s	 9577692 B/op	   14609 allocs/op
BenchmarkLoad/fixture=lancom-oids-12                   	      32	  34979234 ns/op	 186.81 MB/s	84921751 B/op	  357248 allocs/op
BenchmarkLoad/fixture=lancom-oids-12                   	      32	  35398020 ns/op	 184.60 MB/s	84921510 B/op	  357248 allocs/op
BenchmarkLoad/fixture=lancom-oids-12                   	      32	  34983639 ns/op	 186.79 MB/s	84921505 B/op	  357248 allocs/op
BenchmarkLoad/fixture=lancom-oids-12                   	      32	  35176374 ns/op	 185.77 MB/s	84921506 B/op	  357248 allocs/op
BenchmarkLoad/fixture=lancom-oids-12                   	      33	  35151337 ns/op	 185.90 MB/s	84921476 B/op	  357248 allocs/op
BenchmarkLoad/fixture=lancom-oids-12                   	      32	  34948784 ns/op	 186.98 MB/s	84921513 B/op	  357248 allocs/op
BenchmarkLoad/fixture=lancom-oids-12                   	      32	  35173245 ns/op	 185.78 MB/s	84921537 B/op	  357248 allocs/op
BenchmarkLoad/fixture=lancom-oids-12                   	      32	  35237665 ns/op	 185.44 MB/s	84921505 B/op	  357248 allocs/op
BenchmarkLoad/fixture=lancom-oids-12                   	      32	  35160939 ns/op	 185.85 MB/s	84921456 B/op	  357248 allocs/op
BenchmarkLoad/fixture=lancom-oids-12                   	      33	  35185870 ns/op	 185.72 MB/s	84921454 B/op	  357248 allocs/op
BenchmarkLoad/fixture=huawei-tc-12                     	     168	   7090100 ns/op	 352.26 MB/s	18360469 B/op	   57324 allocs/op
BenchmarkLoad/fixture=huawei-tc-12                     	     169	   7099066 ns/op	 351.82 MB/s	18360472 B/op	   57324 allocs/op
BenchmarkLoad/fixture=huawei-tc-12                     	     168	   7100101 ns/op	 351.76 MB/s	18360468 B/op	   57324 allocs/op
